title,artist,top genre,year,tempo,energy,danceability,loudness,liveness,valence,duration,acousticness,speechiness,track_popularity
Shake It Off,Taylor Swift,pop,2014,160.0,80.0,65.0,-5.0,33.0,94.0,219.0,6.0,17.0,78
Dark Horse,Katy Perry,dance pop,2014,132.0,59.0,65.0,-6.0,17.0,35.0,216.0,0.0,5.0,78
Hey Brother,Avicii,big room,2014,125.0,78.0,55.0,-5.0,8.0,46.0,255.0,3.0,4.0,78
Maps,Maroon 5,pop,2014,120.0,71.0,74.0,-6.0,6.0,88.0,190.0,2.0,3.0,78
Treasure,Bruno Mars,pop,2014,116.0,69.0,87.0,-5.0,32.0,94.0,179.0,4.0,4.0,77
Let Her Go,Passenger,folk-pop,2014,75.0,54.0,51.0,-7.0,10.0,24.0,253.0,39.0,6.0,77
Problem,Ariana Grande,dance pop,2014,103.0,81.0,66.0,-5.0,16.0,63.0,194.0,2.0,15.0,75
Pompeii,Bastille,metropopolis,2014,127.0,72.0,68.0,-6.0,27.0,57.0,214.0,8.0,4.0,73
Team,Lorde,art pop,2014,100.0,58.0,69.0,-7.0,31.0,42.0,193.0,17.0,9.0,73
Love Me Again,John Newman,pop,2014,126.0,89.0,50.0,-5.0,10.0,21.0,240.0,0.0,4.0,73
Latch,Disclosure,house,2014,122.0,73.0,50.0,-5.0,9.0,52.0,256.0,2.0,17.0,72
Adore You,Miley Cyrus,dance pop,2014,120.0,66.0,58.0,-5.0,11.0,20.0,279.0,11.0,3.0,72
Love Never Felt So Good,Michael Jackson,pop,2014,118.0,72.0,78.0,-6.0,7.0,71.0,246.0,13.0,4.0,71
Burn,Ellie Goulding,dance pop,2014,87.0,78.0,56.0,-5.0,11.0,33.0,231.0,31.0,4.0,71
She Looks So Perfect,5 Seconds of Summer,boy band,2014,160.0,95.0,49.0,-4.0,33.0,44.0,202.0,0.0,13.0,71
Fancy,Iggy Azalea,australian hip hop,2014,95.0,72.0,91.0,-4.0,5.0,38.0,200.0,9.0,7.0,70
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100.0,65.0,76.0,-7.0,31.0,76.0,178.0,3.0,23.0,68
Gorilla,Bruno Mars,pop,2014,140.0,54.0,72.0,-7.0,10.0,64.0,244.0,45.0,4.0,68
human,Christina Perri,dance pop,2014,144.0,49.0,44.0,-6.0,11.0,25.0,251.0,13.0,4.0,68
Young Girls,Bruno Mars,pop,2014,126.0,75.0,56.0,-5.0,21.0,50.0,229.0,46.0,3.0,67
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82.0,62.0,70.0,-7.0,16.0,72.0,193.0,8.0,25.0,67
Love Runs Out,OneRepublic,dance pop,2014,120.0,93.0,72.0,-4.0,8.0,74.0,225.0,17.0,6.0,66
This Is How We Do,Katy Perry,dance pop,2014,96.0,64.0,69.0,-6.0,15.0,80.0,204.0,2.0,5.0,66
Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,126.0,92.0,71.0,-4.0,27.0,98.0,232.0,0.0,4.0,65
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,130.0,62.0,76.0,-6.0,9.0,52.0,241.0,1.0,18.0,65
#SELFIE,The Chainsmokers,electropop,2014,128.0,92.0,79.0,-3.0,8.0,66.0,184.0,1.0,25.0,65
Partition,Beyoncé,dance pop,2014,186.0,44.0,41.0,-12.0,31.0,17.0,319.0,3.0,29.0,65
Birthday,Katy Perry,dance pop,2014,126.0,67.0,72.0,-5.0,11.0,84.0,215.0,9.0,7.0,65
G.U.Y.,Lady Gaga,dance pop,2014,110.0,92.0,62.0,-3.0,12.0,57.0,233.0,1.0,4.0,65
Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,128.0,74.0,60.0,-3.0,9.0,46.0,217.0,11.0,4.0,64
"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,140.0,66.0,50.0,-6.0,27.0,25.0,226.0,3.0,4.0,63
Wings,Birdy,neo mellow,2014,83.0,71.0,47.0,-5.0,16.0,22.0,252.0,8.0,3.0,62
Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,138.0,81.0,69.0,-4.0,14.0,82.0,207.0,12.0,7.0,62
Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,192.0,77.0,35.0,-4.0,12.0,4.0,191.0,6.0,5.0,61
Say Something,A Great Big World,neo mellow,2014,138.0,15.0,45.0,-9.0,9.0,9.0,229.0,87.0,3.0,61
A Sky Full of Stars,Coldplay,permanent wave,2014,125.0,68.0,55.0,-6.0,21.0,16.0,268.0,1.0,3.0,60
Come Get It Bae,Pharrell Williams,dance pop,2014,120.0,80.0,93.0,-6.0,10.0,90.0,202.0,27.0,8.0,59
Chandelier,Sia,australian dance,2014,174.0,78.0,29.0,-3.0,7.0,62.0,216.0,2.0,7.0,56
XO,Beyoncé,dance pop,2014,170.0,79.0,47.0,-9.0,31.0,21.0,216.0,17.0,26.0,56
We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,125.0,94.0,60.0,-4.0,10.0,55.0,222.0,0.0,7.0,56
Not About Angels,Birdy,neo mellow,2014,116.0,14.0,41.0,-10.0,9.0,23.0,190.0,97.0,4.0,56
Drunk in Love,Beyoncé,dance pop,2014,140.0,62.0,59.0,-7.0,18.0,40.0,323.0,1.0,5.0,52
Anaconda,Nicki Minaj,dance pop,2014,130.0,60.0,96.0,-6.0,21.0,65.0,260.0,7.0,18.0,50
Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,2014,92.0,81.0,68.0,-4.0,34.0,64.0,169.0,7.0,6.0,50
La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014,128.0,82.0,80.0,-5.0,35.0,61.0,198.0,18.0,4.0,50
Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,76.0,34.0,68.0,-9.0,9.0,56.0,160.0,84.0,3.0,49
Words as Weapons,Birdy,neo mellow,2014,120.0,35.0,53.0,-9.0,14.0,19.0,239.0,28.0,3.0,44
You're Mine (Eternal),Mariah Carey,dance pop,2014,149.0,58.0,63.0,-7.0,38.0,56.0,224.0,28.0,7.0,38
Sheezus,Lily Allen,dance pop,2014,130.0,50.0,78.0,-7.0,11.0,39.0,235.0,15.0,4.0,37
Cannonball,Lea Michele,hollywood,2014,92.0,82.0,56.0,-3.0,19.0,57.0,215.0,2.0,5.0,37
It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,110.0,54.0,64.0,-9.0,25.0,53.0,230.0,10.0,11.0,30
I Luh Ya Papi,Jennifer Lopez,dance pop,2014,96.0,73.0,74.0,-6.0,12.0,59.0,207.0,45.0,42.0,28
Not a Bad Thing,Justin Timberlake,dance pop,2014,86.0,73.0,59.0,-6.0,38.0,46.0,266.0,27.0,6.0,0
Thinking out Loud,Ed Sheeran,pop,2015,79.0,45.0,78.0,-6.0,18.0,59.0,282.0,47.0,3.0,84
I'm Not The Only One,Sam Smith,pop,2015,82.0,49.0,68.0,-6.0,8.0,49.0,239.0,53.0,4.0,84
The Hills,The Weeknd,canadian contemporary r&b,2015,113.0,56.0,58.0,-7.0,14.0,14.0,242.0,7.0,5.0,84
Love Yourself,Justin Bieber,canadian pop,2015,100.0,38.0,61.0,-10.0,28.0,52.0,234.0,84.0,44.0,83
Uptown Funk,Mark Ronson,dance pop,2015,115.0,61.0,86.0,-7.0,3.0,93.0,270.0,1.0,8.0,82
Take Me To Church,Hozier,irish singer-songwriter,2015,129.0,66.0,57.0,-5.0,12.0,44.0,242.0,63.0,5.0,81
Sugar,Maroon 5,pop,2015,120.0,79.0,75.0,-7.0,9.0,88.0,235.0,6.0,3.0,81
Sorry,Justin Bieber,canadian pop,2015,100.0,76.0,65.0,-4.0,30.0,41.0,201.0,8.0,5.0,81
FourFiveSeconds,Rihanna,barbadian pop,2015,206.0,27.0,58.0,-6.0,13.0,35.0,188.0,88.0,5.0,80
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190.0,61.0,26.0,-7.0,13.0,28.0,253.0,25.0,5.0,79
"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,120.0,38.0,66.0,-6.0,10.0,44.0,252.0,39.0,3.0,79
What Do You Mean?,Justin Bieber,canadian pop,2015,125.0,57.0,85.0,-8.0,8.0,79.0,206.0,59.0,10.0,79
Stitches,Shawn Mendes,canadian pop,2015,150.0,75.0,75.0,-7.0,5.0,76.0,207.0,2.0,7.0,78
Want to Want Me,Jason Derulo,dance pop,2015,114.0,68.0,78.0,-6.0,11.0,66.0,208.0,1.0,6.0,77
My House,Flo Rida,dance pop,2015,94.0,70.0,69.0,-5.0,13.0,74.0,192.0,2.0,5.0,77
Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,120.0,51.0,83.0,-9.0,8.0,45.0,208.0,1.0,4.0,77
Night Changes,One Direction,boy band,2015,120.0,52.0,67.0,-8.0,12.0,37.0,227.0,86.0,4.0,77
How Deep Is Your Love,Calvin Harris,dance pop,2015,122.0,87.0,74.0,-4.0,39.0,34.0,213.0,4.0,7.0,77
Never Forget You,Zara Larsson,dance pop,2015,146.0,73.0,58.0,-6.0,27.0,28.0,213.0,0.0,5.0,77
Love Me Harder,Ariana Grande,dance pop,2015,99.0,71.0,47.0,-4.0,8.0,24.0,236.0,1.0,3.0,76
Animals,Maroon 5,pop,2015,190.0,74.0,28.0,-6.0,59.0,33.0,231.0,0.0,9.0,76
Blame,Calvin Harris,dance pop,2015,128.0,86.0,41.0,-4.0,34.0,35.0,213.0,3.0,8.0,76
Worth It,Fifth Harmony,dance pop,2015,100.0,77.0,88.0,-4.0,12.0,59.0,225.0,6.0,9.0,75
Break Free,Ariana Grande,dance pop,2015,130.0,70.0,69.0,-5.0,20.0,28.0,215.0,1.0,5.0,75
Don't,Ed Sheeran,pop,2015,95.0,61.0,81.0,-7.0,64.0,85.0,220.0,1.0,7.0,74
Elastic Heart,Sia,australian dance,2015,130.0,79.0,42.0,-5.0,15.0,50.0,257.0,1.0,5.0,73
Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,121.0,59.0,80.0,-7.0,19.0,55.0,228.0,16.0,4.0,73
Hello,Adele,british soul,2015,158.0,45.0,48.0,-6.0,9.0,29.0,295.0,34.0,3.0,73
Dear Future Husband,Meghan Trainor,dance pop,2015,79.0,78.0,66.0,-5.0,32.0,83.0,184.0,38.0,19.0,72
43776,Beyoncé,dance pop,2015,136.0,71.0,75.0,-5.0,13.0,56.0,214.0,1.0,13.0,72
The Heart Wants What It Wants,Selena Gomez,dance pop,2015,83.0,79.0,62.0,-5.0,14.0,62.0,227.0,5.0,4.0,72
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,86.0,73.0,60.0,-4.0,33.0,53.0,193.0,24.0,15.0,72
Genie In a Bottle,Christina Aguilera,dance pop,2015,176.0,80.0,63.0,-7.0,14.0,91.0,218.0,21.0,16.0,72
Company,Justin Bieber,canadian pop,2015,95.0,80.0,59.0,-5.0,8.0,43.0,208.0,13.0,6.0,72
Sing,Ed Sheeran,pop,2015,120.0,67.0,82.0,-4.0,6.0,94.0,235.0,30.0,5.0,71
Jealous - Remix,Nick Jonas,dance pop,2015,93.0,71.0,68.0,-4.0,44.0,45.0,222.0,1.0,8.0,70
Really Don't Care,Demi Lovato,dance pop,2015,121.0,73.0,71.0,-4.0,19.0,85.0,202.0,12.0,9.0,70
"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,110.0,61.0,83.0,-4.0,29.0,71.0,293.0,9.0,7.0,70
Only Love Can Hurt Like This,Paloma Faith,british soul,2015,91.0,89.0,57.0,-5.0,33.0,31.0,233.0,10.0,8.0,69
Heartbeat Song,Kelly Clarkson,dance pop,2015,149.0,80.0,49.0,-4.0,6.0,48.0,199.0,1.0,5.0,69
Up,Olly Murs,dance pop,2015,115.0,85.0,69.0,-5.0,10.0,64.0,224.0,2.0,3.0,69
Trumpets,Jason Derulo,dance pop,2015,82.0,70.0,63.0,-5.0,10.0,64.0,217.0,56.0,24.0,69
Runnin' (Lose It All),Naughty Boy,tropical house,2015,139.0,85.0,32.0,-6.0,48.0,8.0,213.0,1.0,8.0,69
Same Old Love,Selena Gomez,dance pop,2015,98.0,59.0,67.0,-4.0,21.0,44.0,229.0,2.0,3.0,69
I Want You To Know,Zedd,complextro,2015,130.0,85.0,58.0,-3.0,14.0,37.0,240.0,1.0,6.0,68
Lips Are Movin,Meghan Trainor,dance pop,2015,139.0,83.0,78.0,-5.0,11.0,95.0,183.0,5.0,5.0,68
I'll Show You,Justin Bieber,canadian pop,2015,192.0,61.0,36.0,-7.0,18.0,8.0,200.0,5.0,10.0,68
Here,Alessia Cara,canadian contemporary r&b,2015,120.0,82.0,38.0,-4.0,8.0,33.0,199.0,8.0,10.0,68
I Lived,OneRepublic,dance pop,2015,120.0,85.0,59.0,-5.0,27.0,34.0,235.0,7.0,4.0,67
Fireball (feat. John Ryan),Pitbull,dance pop,2015,123.0,94.0,69.0,-5.0,5.0,79.0,235.0,9.0,6.0,67
Easy Love,Sigala,dance pop,2015,124.0,94.0,68.0,-4.0,12.0,65.0,230.0,18.0,6.0,67
The Feeling,Justin Bieber,canadian pop,2015,127.0,81.0,53.0,-6.0,10.0,21.0,245.0,8.0,6.0,67
I Really Like You,Carly Rae Jepsen,canadian pop,2015,122.0,81.0,62.0,-5.0,22.0,60.0,205.0,1.0,4.0,66
BO$$,Fifth Harmony,dance pop,2015,103.0,87.0,81.0,-5.0,5.0,74.0,171.0,1.0,11.0,66
Sugar,Maroon 5,pop,2015,120.0,79.0,75.0,-7.0,9.0,88.0,235.0,6.0,3.0,66
Focus,Ariana Grande,dance pop,2015,100.0,88.0,67.0,-6.0,44.0,79.0,211.0,27.0,24.0,66
All About That Bass,Meghan Trainor,dance pop,2015,134.0,88.0,81.0,-4.0,11.0,96.0,189.0,5.0,5.0,65
On My Mind,Ellie Goulding,dance pop,2015,155.0,71.0,70.0,-7.0,9.0,74.0,213.0,26.0,5.0,65
Love Me Like You,Little Mix,dance pop,2015,106.0,67.0,79.0,-4.0,28.0,85.0,198.0,21.0,4.0,65
Broken Arrows,Avicii,big room,2015,116.0,67.0,63.0,-7.0,10.0,29.0,233.0,5.0,5.0,65
Booty,Jennifer Lopez,dance pop,2015,129.0,95.0,71.0,-4.0,26.0,40.0,210.0,0.0,5.0,64
What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,125.0,36.0,77.0,-11.0,10.0,76.0,204.0,79.0,4.0,64
Mark My Words,Justin Bieber,canadian pop,2015,114.0,26.0,38.0,-9.0,17.0,52.0,134.0,88.0,3.0,63
Lay It All on Me,Rudimental,dance pop,2015,123.0,75.0,67.0,-7.0,19.0,48.0,242.0,14.0,4.0,62
American Oxygen,Rihanna,barbadian pop,2015,78.0,75.0,39.0,-6.0,33.0,48.0,320.0,5.0,9.0,61
Bang Bang,Jessie J,australian pop,2015,150.0,75.0,71.0,-4.0,38.0,73.0,199.0,27.0,9.0,61
Reality - Radio Edit,Lost Frequencies,belgian edm,2015,122.0,70.0,71.0,-8.0,7.0,60.0,159.0,2.0,3.0,61
Alive,Sia,australian dance,2015,100.0,76.0,51.0,-4.0,11.0,44.0,264.0,25.0,5.0,61
Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,123.0,82.0,64.0,-5.0,16.0,64.0,219.0,2.0,6.0,60
Been You,Justin Bieber,canadian pop,2015,113.0,78.0,74.0,-6.0,32.0,86.0,199.0,2.0,7.0,60
Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,123.0,89.0,76.0,-5.0,62.0,78.0,189.0,2.0,3.0,58
See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,80.0,48.0,69.0,-8.0,6.0,28.0,230.0,37.0,8.0,56
Heroes (we could be),Alesso,big room,2015,126.0,75.0,52.0,-4.0,24.0,35.0,210.0,4.0,6.0,56
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156.0,60.0,47.0,-6.0,9.0,4.0,292.0,33.0,5.0,55
Perfect,One Direction,boy band,2015,100.0,82.0,65.0,-5.0,12.0,40.0,230.0,6.0,8.0,55
Ghosttown,Madonna,dance pop,2015,79.0,55.0,54.0,-7.0,12.0,9.0,250.0,4.0,4.0,54
Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,108.0,87.0,60.0,-4.0,10.0,59.0,193.0,5.0,8.0,54
Bloodstream,Ed Sheeran,pop,2015,89.0,59.0,48.0,-6.0,6.0,27.0,309.0,20.0,5.0,52
Living For Love,Madonna,dance pop,2015,123.0,79.0,67.0,-5.0,25.0,39.0,219.0,4.0,9.0,52
Baby Don't Lie,Gwen Stefani,dance pop,2015,100.0,55.0,69.0,-5.0,10.0,26.0,203.0,1.0,3.0,52
Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120.0,82.0,57.0,-3.0,16.0,66.0,211.0,6.0,3.0,52
Steal My Girl,One Direction,boy band,2015,77.0,76.0,47.0,-6.0,14.0,52.0,227.0,0.0,4.0,51
"Celebrate (From the Original Motion Picture ""Penguins of Madagascar"")",Pitbull,dance pop,2015,127.0,85.0,68.0,-3.0,6.0,93.0,193.0,1.0,6.0,50
We Are Here,Alicia Keys,hip pop,2015,93.0,67.0,64.0,-6.0,8.0,8.0,285.0,43.0,4.0,49
St Jude,Florence + The Machine,art pop,2015,117.0,43.0,26.0,-11.0,11.0,9.0,225.0,75.0,3.0,47
Yesterday (feat. Bebe Rexha),David Guetta,dance pop,2015,128.0,78.0,57.0,-4.0,33.0,28.0,243.0,2.0,3.0,46
Time of Our Lives,Pitbull,dance pop,2015,124.0,80.0,72.0,-6.0,69.0,72.0,229.0,9.0,6.0,45
Sparks,Hilary Duff,dance pop,2015,122.0,88.0,85.0,-5.0,10.0,79.0,186.0,4.0,6.0,44
Mr. Put It Down,Ricky Martin,dance pop,2015,128.0,78.0,80.0,-6.0,4.0,83.0,196.0,1.0,18.0,42
Legendary Lovers,Katy Perry,dance pop,2015,126.0,84.0,62.0,-5.0,8.0,39.0,224.0,2.0,8.0,41
Spark The Fire,Gwen Stefani,dance pop,2015,120.0,80.0,88.0,-4.0,20.0,54.0,202.0,8.0,6.0,39
Run Run Run,Kelly Clarkson,dance pop,2015,112.0,37.0,28.0,-7.0,11.0,8.0,273.0,45.0,4.0,36
Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112.0,90.0,72.0,-4.0,6.0,88.0,238.0,1.0,13.0,34
Dangerous,Jennifer Hudson,dance pop,2015,109.0,53.0,90.0,-5.0,8.0,65.0,255.0,0.0,5.0,18
L.A.LOVE (la la),Fergie,dance pop,2015,202.0,39.0,48.0,-8.0,26.0,27.0,193.0,2.0,9.0,0
The Hills,The Weeknd,canadian contemporary r&b,2016,113.0,56.0,58.0,-7.0,14.0,14.0,242.0,7.0,5.0,84
Love Yourself,Justin Bieber,canadian pop,2016,100.0,38.0,61.0,-10.0,28.0,52.0,234.0,84.0,44.0,83
Cake By The Ocean,DNCE,dance pop,2016,119.0,75.0,77.0,-5.0,4.0,90.0,219.0,15.0,5.0,81
Don't Let Me Down,The Chainsmokers,electropop,2016,160.0,87.0,53.0,-5.0,14.0,42.0,208.0,16.0,17.0,81
In the Name of Love,Martin Garrix,big room,2016,134.0,52.0,50.0,-6.0,45.0,17.0,196.0,11.0,4.0,81
Into You,Ariana Grande,dance pop,2016,108.0,73.0,62.0,-6.0,14.0,37.0,244.0,2.0,11.0,80
This Is What You Came For,Calvin Harris,dance pop,2016,124.0,93.0,63.0,-3.0,15.0,47.0,222.0,20.0,3.0,80
Million Reasons,Lady Gaga,dance pop,2016,130.0,42.0,67.0,-8.0,11.0,15.0,205.0,49.0,4.0,80
Needed Me,Rihanna,barbadian pop,2016,111.0,31.0,67.0,-8.0,8.0,30.0,192.0,11.0,24.0,80
7 Years,Lukas Graham,danish pop,2016,120.0,47.0,77.0,-6.0,39.0,34.0,237.0,29.0,5.0,80
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,113.0,83.0,67.0,-6.0,19.0,70.0,236.0,1.0,7.0,79
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,105.0,59.0,80.0,-6.0,6.0,59.0,214.0,10.0,4.0,79
Scars To Your Beautiful,Alessia Cara,canadian contemporary r&b,2016,97.0,74.0,57.0,-6.0,11.0,45.0,230.0,3.0,13.0,79
Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2016,108.0,53.0,63.0,-7.0,18.0,42.0,225.0,40.0,4.0,79
Work,Rihanna,barbadian pop,2016,92.0,53.0,73.0,-6.0,9.0,56.0,219.0,8.0,9.0,78
Stitches,Shawn Mendes,canadian pop,2016,150.0,75.0,75.0,-7.0,5.0,76.0,207.0,2.0,7.0,78
"Me, Myself & I",G-Eazy,hip hop,2016,112.0,67.0,76.0,-7.0,16.0,38.0,251.0,2.0,10.0,78
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,102.0,71.0,66.0,-7.0,8.0,69.0,198.0,4.0,11.0,78
Dangerous Woman,Ariana Grande,dance pop,2016,134.0,60.0,66.0,-5.0,36.0,29.0,236.0,5.0,4.0,78
Starving,Hailee Steinfeld,dance pop,2016,100.0,62.0,73.0,-4.0,11.0,51.0,182.0,38.0,6.0,78
Shout Out to My Ex,Little Mix,dance pop,2016,126.0,75.0,77.0,-4.0,11.0,80.0,246.0,2.0,9.0,77
Electric Love,BØRNS,electropop,2016,120.0,80.0,61.0,-8.0,26.0,52.0,218.0,1.0,5.0,76
Confident,Demi Lovato,dance pop,2016,130.0,75.0,59.0,-6.0,9.0,34.0,206.0,0.0,7.0,75
Too Good,Drake,canadian hip hop,2016,118.0,65.0,79.0,-8.0,10.0,39.0,263.0,5.0,10.0,74
Roses,The Chainsmokers,electropop,2016,100.0,80.0,71.0,-7.0,31.0,34.0,227.0,4.0,6.0,74
Cold Water (feat. Justin Bieber & MØ),Major Lazer,dance pop,2016,93.0,80.0,61.0,-5.0,16.0,50.0,185.0,7.0,4.0,73
Me Too,Meghan Trainor,dance pop,2016,124.0,69.0,93.0,-6.0,48.0,84.0,181.0,10.0,10.0,73
Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,dance pop,2016,108.0,88.0,75.0,-4.0,23.0,75.0,166.0,4.0,7.0,73
Ain't Your Mama,Jennifer Lopez,dance pop,2016,120.0,68.0,76.0,-6.0,7.0,82.0,218.0,5.0,23.0,72
Close,Nick Jonas,dance pop,2016,124.0,62.0,65.0,-5.0,14.0,40.0,234.0,25.0,8.0,72
Toothbrush,DNCE,dance pop,2016,105.0,79.0,55.0,-6.0,47.0,82.0,232.0,12.0,13.0,72
All We Know,The Chainsmokers,electropop,2016,90.0,59.0,66.0,-9.0,12.0,30.0,194.0,10.0,3.0,72
Final Song,MØ,dance pop,2016,105.0,67.0,70.0,-6.0,8.0,25.0,236.0,1.0,3.0,72
Company,Justin Bieber,canadian pop,2016,95.0,80.0,59.0,-5.0,8.0,43.0,208.0,13.0,6.0,72
Hands To Myself,Selena Gomez,dance pop,2016,111.0,50.0,81.0,-7.0,34.0,47.0,201.0,1.0,12.0,71
All I Ask,Adele,british soul,2016,142.0,28.0,59.0,-5.0,15.0,34.0,272.0,88.0,3.0,71
"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")",P!nk,dance pop,2016,163.0,70.0,63.0,-6.0,11.0,50.0,215.0,1.0,15.0,71
NO,Meghan Trainor,dance pop,2016,92.0,80.0,56.0,-4.0,74.0,65.0,214.0,1.0,22.0,70
Kill Em With Kindness,Selena Gomez,dance pop,2016,120.0,88.0,76.0,-5.0,10.0,40.0,218.0,1.0,4.0,70
Cool Girl,Tove Lo,dance pop,2016,102.0,69.0,67.0,-7.0,8.0,20.0,199.0,31.0,11.0,69
Runnin' (Lose It All),Naughty Boy,tropical house,2016,139.0,85.0,32.0,-6.0,48.0,8.0,213.0,1.0,8.0,69
Here,Alessia Cara,canadian contemporary r&b,2016,120.0,82.0,38.0,-4.0,8.0,33.0,199.0,8.0,10.0,68
Perfect Illusion,Lady Gaga,dance pop,2016,125.0,86.0,61.0,-5.0,36.0,66.0,182.0,0.0,4.0,67
PILLOWTALK,ZAYN,dance pop,2016,125.0,70.0,59.0,-4.0,9.0,43.0,204.0,10.0,5.0,66
Out Of The Woods,Taylor Swift,pop,2016,92.0,84.0,55.0,-7.0,34.0,34.0,236.0,0.0,4.0,66
Rise,Katy Perry,dance pop,2016,101.0,64.0,55.0,-6.0,11.0,44.0,203.0,5.0,5.0,66
Wherever I Go,OneRepublic,dance pop,2016,100.0,69.0,55.0,-6.0,27.0,35.0,170.0,9.0,4.0,66
Body Say,Demi Lovato,dance pop,2016,87.0,74.0,63.0,-5.0,28.0,26.0,194.0,0.0,4.0,65
Don't Be A Fool,Shawn Mendes,canadian pop,2016,175.0,34.0,47.0,-6.0,10.0,27.0,216.0,60.0,4.0,65
LIKE I WOULD,ZAYN,dance pop,2016,113.0,83.0,56.0,-6.0,26.0,23.0,192.0,2.0,11.0,65
Cheap Thrills,Sia,australian dance,2016,90.0,80.0,59.0,-5.0,8.0,73.0,225.0,6.0,22.0,64
I Got You,Bebe Rexha,dance pop,2016,98.0,89.0,61.0,-5.0,9.0,32.0,192.0,5.0,5.0,64
Run Away With Me,Carly Rae Jepsen,canadian pop,2016,119.0,72.0,56.0,-6.0,5.0,25.0,251.0,1.0,5.0,63
Cruel (feat. ZAYN),Snakehips,dance pop,2016,110.0,88.0,60.0,-4.0,16.0,32.0,228.0,2.0,12.0,63
Send My Love (To Your New Lover),Adele,british soul,2016,164.0,52.0,69.0,-8.0,17.0,56.0,223.0,4.0,10.0,61
WTF (Where They From),Missy Elliott,dance pop,2016,120.0,82.0,93.0,-3.0,6.0,56.0,193.0,2.0,20.0,58
Desire,Years & Years,dance pop,2016,126.0,78.0,71.0,-5.0,30.0,64.0,203.0,30.0,6.0,58
When We Were Young,Adele,british soul,2016,144.0,59.0,38.0,-6.0,9.0,27.0,291.0,35.0,5.0,58
I Know What You Did Last Summer,Shawn Mendes,canadian pop,2016,114.0,77.0,68.0,-5.0,16.0,72.0,224.0,11.0,10.0,57
Wish That You Were Here - From Miss Peregrines Home for Peculiar Children Original Motion Picture,Florence + The Machine,art pop,2016,94.0,57.0,37.0,-6.0,13.0,12.0,403.0,72.0,3.0,57
Hurts,Emeli Sandé,dance pop,2016,106.0,64.0,58.0,-8.0,15.0,18.0,238.0,2.0,3.0,57
Change,Christina Aguilera,dance pop,2016,82.0,54.0,62.0,-6.0,13.0,20.0,187.0,68.0,8.0,54
Make Me... (feat. G-Eazy),Britney Spears,dance pop,2016,123.0,70.0,70.0,-7.0,22.0,58.0,231.0,16.0,10.0,53
Keeping Your Head Up,Birdy,neo mellow,2016,122.0,78.0,60.0,-5.0,19.0,53.0,208.0,16.0,5.0,52
True Colors,Zedd,complextro,2016,126.0,79.0,57.0,-3.0,10.0,49.0,225.0,40.0,4.0,51
Make Me Like You,Gwen Stefani,dance pop,2016,118.0,71.0,74.0,-5.0,13.0,80.0,217.0,4.0,5.0,50
Champagne Problems,Nick Jonas,dance pop,2016,108.0,78.0,73.0,-5.0,9.0,64.0,193.0,0.0,13.0,50
Blown,DNCE,dance pop,2016,130.0,95.0,63.0,-5.0,10.0,73.0,197.0,0.0,4.0,48
